"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.1,100,30,0.8,"Bias",0.00348,-0.00183,-0.00116,-0.00246,0.0001,0.00001,0.00054,0.01692,0.01601,0.01688
0.1,100,30,0.8,"Var",31.1371,31.10009,30.78076,30.8662,33.85091,33.71716,33.60689,31.24109,31.23795,31.23947
0.1,100,30,0.8,"MSE",1.13708,1.06527,1.06428,1.06439,2.00356,1.91404,1.8502,1.11021,1.10628,1.11007
0.2,20,5,0.2,"Bias",-0.06908,0.10326,0.10391,0.10284,-0.013,-0.00494,-0.00125,0.32067,0.31908,0.32063
0.2,20,5,0.2,"Var",3.92016,4.23561,3.8622,3.88064,5.59379,5.65006,5.6407,3.82268,3.8028,3.81888
0.2,20,5,0.2,"MSE",1.72701,1.38875,1.32709,1.32856,2.09857,2.22518,2.23339,1.72134,1.72391,1.72036
0.2,20,5,0.8,"Bias",-0.00861,0.14472,0.22367,0.10917,0.05702,0.14247,0.1547,0.09465,0.09289,0.09466
0.2,20,5,0.8,"Var",18.01466,18.51268,15.58445,17.48483,21.99168,27.83012,27.05859,18.32953,18.34396,18.32947
0.2,20,5,0.8,"MSE",1.20531,1.36942,1.47779,1.36561,4.61108,9.94059,9.31132,1.20092,1.20219,1.20091
0.2,20,10,0.2,"Bias",-0.06525,0.01072,0.01291,0.00882,-0.00544,-0.0051,-0.00503,-0.04405,-0.0339,-0.04327
0.2,20,10,0.2,"Var",4.14929,4.08321,3.95486,3.96145,5.41352,5.34449,5.33468,4.06898,4.12467,4.06991
0.2,20,10,0.2,"MSE",1.45664,1.16135,1.14229,1.14228,2.03794,1.99229,1.9955,1.32868,1.31671,1.32648
0.2,20,10,0.8,"Bias",-0.03776,0.04728,0.06032,0.03677,-0.00614,0.01884,0.01935,-0.02257,-0.0238,-0.02257
0.2,20,10,0.8,"Var",15.1898,15.33826,13.93859,14.78782,18.00482,17.16726,17.16334,15.20155,15.20985,15.20101
0.2,20,10,0.8,"MSE",1.13748,1.22496,1.21912,1.2145,2.34474,1.60257,1.5997,1.12834,1.12765,1.12852
0.2,20,20,0.2,"Bias",-0.00959,-0.00271,-0.00435,-0.00144,-0.00207,-0.00152,0.00106,-0.11474,-0.13384,-0.11634
0.2,20,20,0.2,"Var",4.52814,5.19786,5.01395,5.05564,6.5504,6.48891,5.88603,4.7391,4.7311,4.73441
0.2,20,20,0.2,"MSE",1.52066,1.07814,1.07595,1.07642,2.01825,1.98196,1.88398,1.20722,1.19841,1.20504
0.2,20,20,0.8,"Bias",0.00555,-0.00786,-0.03712,-0.00529,-0.00134,-0.00249,-0.00248,-0.05374,-0.05363,-0.05376
0.2,20,20,0.8,"Var",22.4869,22.03123,20.76637,21.69105,24.9353,24.43505,24.13838,22.65998,22.66727,22.66013
0.2,20,20,0.8,"MSE",1.13401,1.11336,1.1349,1.1141,2.07791,1.7513,1.6076,1.12993,1.13072,1.12986
0.2,20,30,0.2,"Bias",0.00588,-0.00236,-0.00275,-0.00205,0.00005,-0.00066,0.01566,0.0228,-0.03826,0.0188
0.2,20,30,0.2,"Var",4.16674,5.14211,5.02806,5.04784,6.51543,6.45369,5.20771,4.60786,4.59281,4.60004
0.2,20,30,0.2,"MSE",1.50132,1.04996,1.04832,1.04839,2.02244,1.98546,2.10299,1.15196,1.131,1.14931
0.2,20,30,0.8,"Bias",0.01307,-0.00585,-0.0166,0.0014,-0.00027,0.00207,0.0243,-0.00988,-0.0138,-0.00986
0.2,20,30,0.8,"Var",21.54377,21.15561,20.53946,20.88336,24.01483,23.71193,22.67472,21.56937,21.579,21.5692
0.2,20,30,0.8,"MSE",1.11843,1.07257,1.07457,1.07223,2.04666,1.84105,1.36214,1.10943,1.10831,1.10919
0.2,100,5,0.2,"Bias",-0.05559,0.02707,0.02716,0.02699,0.00478,0.00527,0.00509,-0.04273,-0.04361,-0.04259
0.2,100,5,0.2,"Var",4.16866,4.93865,4.45435,4.46811,6.18054,6.19754,6.19845,4.20865,4.24908,4.20935
0.2,100,5,0.2,"MSE",1.67101,1.29379,1.23209,1.23271,2.02146,2.04275,2.04395,1.63903,1.58659,1.63785
0.2,100,5,0.8,"Bias",-0.00847,0.01806,0.01425,0.01999,0.0098,0.01778,0.01984,-0.01975,-0.01908,-0.01975
0.2,100,5,0.8,"Var",22.1589,21.81057,20.62296,21.42602,25.65461,25.88548,26.59213,22.15385,22.18889,22.15385
0.2,100,5,0.8,"MSE",1.1569,1.29613,1.30184,1.29507,3.4331,4.26116,4.98171,1.15386,1.15626,1.15386
0.2,100,10,0.2,"Bias",-0.02224,0.00162,0.00116,0.00204,-0.00187,-0.00229,-0.00235,-0.02702,-0.02684,-0.02735
0.2,100,10,0.2,"Var",5.17085,5.85754,5.50568,5.51657,7.23538,7.21202,7.21214,5.5904,5.47701,5.58516
0.2,100,10,0.2,"MSE",1.59485,1.14235,1.12726,1.12743,2.00852,1.9991,2.00604,1.27382,1.25971,1.27313
